[Scenario]
Race Split Mixer
4
3
35 20
E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E 
E 1 E X E X E X E X E X E X E X E X E X E X E X E X E E E X E X E X E 
0 X 0 X X X X X X X X X X X X X X X X X X X X X X X E E E X X X X X X 
1 0 1 X X X X X X X X X X X X X X X B X X X X X B X E E E X X X X X X 
E E E E E E E E E E E E E E E X X X X X X X X X X X X X X X X X X X X 
E E E E E E E E E E E E E E E X X X X X X X X X X X X X X X X X B X X 
E 2 E X E X E X E X E X E X E X X X X X X X X X X X X E X X X X X X X 
1 X 1 X X X X X X X X X X X X X X X B X X X X X B X E E E X X X X X X 
2 1 2 X X X X X X X X X X X X X X X X X X X X X X X E E E X X X X X X 
E E E E E E E E E E E E E E E E E E E E E E E E E E E E E X X X X X X 
E E E E E E E E E E E E E E E E E E E E E E E E E E E E E X X X B X X 
E 3 E X E X E X E X E X E X E X E X E X E X E X E X E E E X X X X X X 
0 X 0 X X X X X X X X X X X X X X X X X X X X X X X E E E X X X X X X 
3 0 3 X X X X X X X X X X X X X X X B X X X X X B X E E E X X X X X X 
E E E E E E E E E E E E E E E X X X X X X X X X X X X X X X X X X X X 
E E E E E E E E E E E E E E E X X X X X X X X X X X X X X X X X B X X 
E 3 E X E X E X E X E X E X E X X X X X X X X X X X X E X X X X X X X 
2 X 2 X X X X X X X X X X X X X X X B X X X X X B X E E E X X X X X X 
3 2 3 X X X X X X X X X X X X X X X X X X X X X X X E E E X X X X X X 
E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E 
