[Scenario]
Spinner
3
3
18 20
E E E E E E E E E E E E E E E E E E 
E E E E E E E 2 0 1 E E E E E E E E 
E E E E E X X 1 0 2 E E E E E E E E 
E E E X X X X X 0 E E X X X E E E E 
E X X X X X X E E X X X X X X X E E 
X X X X X E E X X X X X X X X X X E 
X X X E E X X X E X X X X E X X X E 
X X X X X X X X E X X X X E X X X E 
X X X X X X B X E X B X X E X X X E 
X X X X X X X E E E X X X E X X X E 
E E X X X E E X X X E E X E X X X E 
E 0 E E X X X X B X X X X E X 0 X E 
2 1 1 X E E X X X X X X X E 2 2 1 E 
1 0 2 X X X E E X X X X X E 1 0 2 E 
E E X X X X X X E X X X X E E E E E 
E E E E X X X X X X X X X E E E E E 
E E E E E E X X X X X E E E E E E E 
E E E E E E E E X E E E E E E E E E 
E E E E E E E E E E E E E E E E E E 
E E E E E E E E E E E E E E E E E E 
