[Scenario]
snowflake
6
3
23 23
E E E E E E E E E E E 0 E E E E E E E E E E E 
E E E E E E E E E 0 E X E 0 E E E E E E E E E 
E E E E E E E E E E X X X E E E E E E E E E E 
E E E E E E E 5 E E E X E E E 3 E E E E E E E 
E E E E E 5 E X E E E X E E E X E 3 E E E E E 
E E 2 E E E X X E E E X E E E X X E E E 5 E E 
2 X X E E E E X X X E X E X X X E E E E X X 5 
E X X X E E E X E E X B X E E X E E E X X X E 
2 E E E X X E X E E X X X E E X E X X E E E 5 
E E E E E E X B X X X X X X X B X E E E E E E 
E 0 E E E X X X X X X X X X X X X X E E E 1 E 
E E X X X E E E X X X B X X X E E E X X X E E 
E 0 X E X X E X X X X X X X X X E X X E X 1 E 
E E E E E E X B X X X X X X X B X E E E E E E 
E E E E E X X X X E X X X E X X X X E E E E E 
4 X E X X E E X E E X B X E E X E E X X E X 3 
E X X E E E E X E X X X X X E X E E E E X X E 
4 E X E E E E X X E E X E E X X E E E E X E 3 
E E 4 E E 2 X X E E E X E E E X X 4 E E 3 E E 
E E E E E E E 2 E E E X E E E 4 E E E E E E E 
E E E E E E E E E E E X E E E E E E E E E E E 
E E E E E E E E E 1 X X X 1 E E E E E E E E E 
E E E E E E E E E E E 1 E E E E E E E E E E E 
